,AID_ID_Number,District,Road_EN,Road_TC,Road_SC,Direction,Rotation,GeometryEasting,GeometryNorthing
10,AID01111,Kowloon City,Hong Chong Road near The Hong Kong Polytechnic University - Northbound (1) ,康莊道近香港理工大學 - 北行（1）,康庄道近香港理工大学 - 北行（1）,East,80,836693,818352
11,AID01112,Kowloon City,Hong Chong Road near The Hong Kong Polytechnic University - Northbound (2) ,康莊道近香港理工大學 - 北行（2）,康庄道近香港理工大学 - 北行（2）,East,80,836728,818441
12,AID01113,Yau Tsim Mong,Princess Margaret Road near Parc Palais- Northbound  ,公主道近君頤峰 - 北行,公主道近君頤峰 - 北行,North West,310,836401,819035
13,AID01114,Kowloon City,Princess Margaret Road near Oi Man Estate - Northbound ,公主道近愛民邨 - 北行 ,公主道近爱民邨 - 北行 ,North,10,836275,819369
14,AID01115,Kowloon City,Princess Margaret Road near Yu Chun Keung Memorial College - Northbound ,公主道近余振強紀念中學 - 北行 ,公主道近余振强纪念中学 - 北行 ,North East,40,836485,819945
15,AID01116,Kowloon City,Princess Margaret Road near St. John Ambulance Brigade Kowloon Depot - Northbound ,公主道近聖約翰救傷隊九龍救護站 - 北行 ,公主道近圣约翰救伤队九龙救护站 - 北行 ,North West,310,836454,820193
16,AID01117,Kowloon City,Waterloo Road near St. George Apartments - Northbound ,窩打老道近聖佐治大廈 - 北行 ,窝打老道近圣佐治大厦 - 北行 ,North,0,836416,820593
17,AID01118,Kowloon City,Waterloo Road near Kowloon Tong Club - Northbound ,窩打老道近九龍塘會 - 北行 ,窝打老道近九龙塘会 - 北行 ,North,0,836433,821044
18,AID01119,Kowloon City,Waterloo Road near Durham Road - Northbound ,窩打老道近對衡道- 北行 ,窝打老道近对衡道- 北行 ,North,0,836463,821497
19,AID01120,Kowloon City,Waterloo Road near Kowloon East Barracks(1) - Northbound ,窩打老道近九龍東軍營(1)- 北行 ,窝打老道近九龙东军营(1) - 北行 ,North,0,836475,821768
20,AID01121,Kowloon City,Waterloo Road near Kowloon East Barracks(2) - Northbound ,窩打老道近九龍東軍營(2) - 北行 ,窝打老道近九龙东军营(2) - 北行 ,North,0,836502,822157
21,AID01122,Kowloon City,Waterloo Road near Warwick Road - Northbound ,窩打老道近和域道 - 北行 ,窝打老道近和域道- 北行 ,North West,320,836480,822536
22,AID01123,Kowloon City,Lion Rock Tunnel Road near Entrance from Kowloon - Northbound ,獅子山隧道公路近九龍入口 - 北行 ,狮子山隧道公路近九龙入口 - 北行 ,North,340,836727,822903
37,AID01202,Kowloon City,Waterloo Road near Warwick Road - Southbound ,窩打老道近和域道 - 南行 ,窝打老道近和域道- 南行 ,South East,140,836461,822591
38,AID01203,Kowloon City,Waterloo Road near Junction Road - Southbound ,窩打老道近聯合道 - 南行 ,窝打老道近联合道 - 南行 ,South,180,836504,822205
39,AID01204,Kowloon City,Waterloo Road near Kowloon East Barracks - Southbound ,窩打老道近九龍東軍營 - 南行 ,窝打老道近九龙东军营 - 南行 ,South,180,836478,821768
