,AID_ID_Number,District,Road_EN,Road_TC,Road_SC,Direction,Rotation,GeometryEasting,GeometryNorthing
12,AID01113,Yau Tsim Mong,Princess Margaret Road near Parc Palais- Northbound  ,公主道近君頤峰 - 北行,公主道近君頤峰 - 北行,North West,310,836401,819035
102,AID03106,Yau Tsim Mong,West Kowloon Highway near Centenary Substation - Northbound ,西九龍公路近百周年變電站 - 北行 ,西九龙公路近百周年变电站 - 北行 ,North,20,834605,818760
103,AID03107,Yau Tsim Mong,West Kowloon Highway near Olympic Plaza - Northbound ,西九龍公路近奧海公園 - 北行 ,西九龙公路近奥海公园 - 北行 ,North,355,834652,819473
104,AID03108,Yau Tsim Mong,West Kowloon Highway near Olympic MTR Station - Northbound (1) ,西九龍公路近港鐵奧運站 - 北行 (1) ,西九龙公路近港铁奥运站 - 北行 (1) ,North,350,834512,819856
105,AID03109,Yau Tsim Mong,West Kowloon Highway near Olympic MTR Station - Northbound (2) ,西九龍公路近港鐵奧運站 - 北行 (2) ,西九龙公路近港铁奥运站 - 北行 (2) ,North,350,834436,820040
128,AID03207,Yau Tsim Mong,West Kowloon Highway near Olympian City Promenade Park - Southbound ,西九龍公路近奧海城海濱公園 - 南行 ,西九龙公路近奥海城海滨公园 - 南行 ,South East,140,834324,820256
129,AID03208,Yau Tsim Mong,West Kowloon Highway near Olympic MTR Station - Southbound ,西九龍公路近港鐵奧運站 - 南行 ,西九龙公路近港铁奥运站 - 南行 ,South,170,834456,819995
130,AID03209,Yau Tsim Mong,West Kowloon Highway near Hoi Fai Road Promenade - Southbound ,西九龍公路近海輝道海濱公園 - 南行 ,西九龙公路近海辉道海滨公园 - 南行 ,South East,140,834547,819765
131,AID03210,Yau Tsim Mong,West Kowloon Highway near Olympic Plaza - Southbound ,西九龍公路近奧海公園 - 南行 ,西九龙公路近奥海公园 - 南行 ,South,175,834638,819522
132,AID03211,Yau Tsim Mong,West Kowloon Highway near Centenary Substation - Southbound ,西九龍公路近百周年變電站 - 南行 ,西九龙公路近百周年变电站 - 南行 ,South,185,834624,818672
182,AID05110,Yau Tsim Mong,Gascoigne Road near Gun Club Hill Barracks - Westbound ,加士居道近槍會山軍營 - 西行 ,加士居道近枪会山军营-西行,North West,300,836408,818547
183,AID05111,Yau Tsim Mong,Gascoigne Road near Diocesan Girls' School - Westbound ,加士居道近拔萃女書院 - 西行 ,加士居道近拔萃女书院 - 西行 ,North West,280,835963,818689
184,AID05113,Yau Tsim Mong,Gascoigne Road Flyover near Prosperous Garden - Northbound ,加士居道天橋近駿發花園 - 北行 ,加士居道天桥近骏发花园 - 北行 ,North,355,835288,819052
185,AID05114,Yau Tsim Mong,Ferry Street near Cherry Street Park - Northbound ,渡船街近櫻桃街公園 - 北行 ,渡船街近樱桃街公园 - 北行 ,North,0,835233,819365
186,AID05115,Yau Tsim Mong,West Kowloon Corridor West near Cherry Street Park - Northbound (1) ,西九龍走廊西近櫻桃街公園 - 北行 (1) ,西九龙走廊西近樱桃街公园 - 北行 (1) ,North,0,835176,819761
187,AID05116,Yau Tsim Mong,West Kowloon Corridor West near Cherry Street Park - Northbound (2) ,西九龍走廊西近櫻桃街公園 - 北行 (2) ,西九龙走廊西近樱桃街公园 - 北行 (2) ,West,270,834960,819942
188,AID05117,Yau Tsim Mong,West Kowloon Corridor West near Fuk Tsun Street - Northbound ,西九龍走廊西近福全街 - 北行 ,西九龙走廊西近福全街 - 北行 ,North,0,834734,820418
225,AID05219,Yau Tsim Mong,West Kowloon Corridor near Sycamore Playground -Southbound ,西九龍走廊近詩歌舞遊樂場 -南行,西九龙走廊近诗歌舞游乐场 -南行,South East,135,834813,820608
226,AID05220,Yau Tsim Mong,West Kowloon Corridor near Fuk Keung Indistrial Building - Southbound ,西九龍走廊近福強工業大廈 - 南行 ,西九龙走廊近福强工业大厦 - 南行 ,South,175,835092,820342
227,AID05221,Yau Tsim Mong,West Kowloon Corridor near Cherry Street Park - Southbound (1) ,西九龍走廊近櫻桃街公園 - 南行 (1) ,西九龙走廊近樱桃街公园 - 南行 (1) ,South,180,835168,819951
228,AID05222,Yau Tsim Mong,West Kowloon Corridor near Cherry Street Park - Southbound (2) ,西九龍走廊近櫻桃街公園 - 南行 (2) ,西九龙走廊近樱桃街公园 - 南行 (2) ,South,180,835224,819543
229,AID05223,Yau Tsim Mong,West Kowloon Corridor near Prosperous Garden - Southbound ,西九龍走廊近駿發花園 - 南行 ,西九龙走廊近骏发花园 - 南行 ,South,175,835302,819006
230,AID05224,Yau Tsim Mong,Gascoigne Road near Methodist College - Eastbound ,加士居道近循道中學 - 東行 ,加士居道近循道中学 - 东行 ,South East,135,835729,818891
231,AID05225,Yau Tsim Mong,Gascoigne Road near Diocesan Girls' School - Eastbound  ,加士居道近拔萃女書院 - 東行 ,加士居道近拔萃女书院 - 东行 ,South East,120,836014,818683
232,AID05226,Yau Tsim Mong,Gascoigne Road near Gun Club Hill Barracks - Eastbound ,加士居道近槍會山軍營 - 東行 ,加士居道近枪会山军营-东行,South East,120,836367,818560
